Dzielnica   Nazwa szkoły                                                                   Symbol oddziału     Nazwa krótka oddziału                                              Najmniejsza liczba punktów kandydatów zakwalifikowanych
Bielany   XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti                         1Dw               1Dw [O] ang-pol-wos (ang-hisz*)            162.60
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Ah               1Ah [O] hist-ang-pol (ang-hisz)            129.95
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1An               1An [O] hist-ang-pol (ang-niem)            125.45
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Bh               1Bh [O] biol-chem-ang (ang-hisz)           141.45
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Bn               1Bn [O] biol-chem-ang (ang-niem)           129.90
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Ch               1Ch [O] biol-chem-ang (ang-hisz)           137.30
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Cn               1Cn [O] biol-chem-ang (ang-niem)           121.45
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Dh               1Dh [O] biol-geogr-ang (ang-hisz)          133.05
Bielany   XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego                                          1Dn               1Dn [O] biol-geogr-ang (ang-niem)          120.35
Mokotów   Branżowa Szkoła I stopnia nr 31                                                                1A                1A [O] Fryzjer (ang)                       29.45
Mokotów   Branżowa Szkoła I stopnia nr 31                                                                1Aw               1Aw [O] wielozawodowa (ang,ros)            39.70
Mokotów   Branżowa Szkoła I stopnia nr 31                                                                1Bw               1Bw [O] wielozawodowa (ang,ros)            59.60
Mokotów   Branżowa Szkoła I stopnia nr 31                                                                1Cw               1Cw [O] wielozawodowa (ang,ros)            41.80
Mokotów   Branżowa Szkoła I stopnia nr 31                                                                1Dw               1Dw [O] wielozawodowa (ang)                39.30
Mokotów   Branżowa Szkoła I stopnia nr 4                                                                 1BA               1BA [O] Fryzjer (ang*)                     59.60
Mokotów   CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego   1A                1A [D] hist-pol-mat (ang-hisz*)            181.68
Mokotów   CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego   1F                1F [D] fiz-mat (ang-niem*)                 186.50
Mokotów   CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego   1H                1H [D] geogr-hiszp-mat (ang-hisz*)         190.42
Mokotów   CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego   1M                1M [O] biol-chem-mat (ang-hisz*)           172.60
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1A                1A [I-o] hist-pol (ang-hisz*,niem*)        132.45
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1Ain              1Ain [I-i] hist-pol (ang-hisz*,niem*)      n.d.
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1B                1B [I-o] geogr-ang (ang-hisz*,niem*)       140.30
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1Bin              1Bin [I-i] geogr-ang (ang-hisz*,niem*)     n.d.
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1C                1C [I-o] biol-chem (ang-hisz*,niem*)       142.20
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1Cin              1Cin [I-i] biol-chem (ang-hisz*,niem*)     n.d.
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1D                1D [I-o] inf-mat (ang-hisz*,niem*)         139.50
Mokotów   CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”                        1Din              1Din [I-i] inf-mat (ang-hisz*,niem*)       n.d.
Mokotów   CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego                                           1a_piłka_nożna    1a_piłka_nożna [MS] geogr-ang (ang-niem)   70.00
Mokotów   CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego                                           1a_szermierka     1a_szermierka [MS] geogr-ang (ang-niem)    50.20
Mokotów   CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego                                           1b_cheerleading   1b_cheerleading [MS] biol-ang (ang-niem)   16.00
Mokotów   CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego                                           1b_pływanie       1b_pływanie [MS] biol-ang (ang-niem)       400.00
Mokotów   CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego                                           1b_ratownictwo    1b_ratownictwo [MS] biol-ang (ang-niem)    30.00
Mokotów   CX Liceum Ogólnokształcące im. Roberta Schumana                                                1A1               1A1 [O] geogr-ang-niem (ang-niem)          128.65
Mokotów   CX Liceum Ogólnokształcące im. Roberta Schumana                                                1A2               1A2 [O] geogr-ang-hiszp (ang-hisz)         137.10
Mokotów   CX Liceum Ogólnokształcące im. Roberta Schumana                                                1B1               1B1 [O] geogr-ang-wos (ang-hisz)           134.30
Mokotów   CX Liceum Ogólnokształcące im. Roberta Schumana                                                1B2               1B2 [O] geogr-ang-wos (ang-wlo)            125.70
Mokotów   CX Liceum Ogólnokształcące im. Roberta Schumana                                                1C1               1C1 [O] hist-pol-wos (ang-niem)            126.00
Mokotów   CX Liceum Ogólnokształcące im. Roberta Schumana                                                1C2               1C2 [O] hist-pol-wos (ang-wlo)             130.95
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1AH               1AH [I-o] geogr-mat (ang-hisz)             150.25
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1A-i              1A-i [I-i] geogr-mat (ang-niem,hisz)       n.d.
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1AN               1AN [I-o] geogr-mat (ang-niem)             142.75
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1BH               1BH [I-o] biol-chem (ang-hisz)             151.35
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1B-i              1B-i [I-i] biol-chem (ang-hisz,ros)        n.d.
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1BR               1BR [I-o] biol-chem (ang-ros)              140.95
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1CF               1CF [O] h.szt.-pol (ang-fra)               129.75
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1CW               1CW [O] h.szt.-pol (ang-wlo)               126.05
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1DN               1DN [O] hist-wos (ang-niem)                137.60
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1DR               1DR [O] hist-wos (ang-ros)                 126.75
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1E-i-N            1E-i-N [I-i] ang-niem (ang-niem)           n.d.
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1E-i-R            1E-i-R [I-i] ang-ros (ang-ros)             n.d.
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1EN               1EN [I-o] ang-niem (ang-niem)              135.85
Mokotów   LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema                   1ER               1ER [I-o] ang-ros (ang-ros)                128.55
Mokotów   LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego                                       1t                1t [O] biol-geogr-ang (ang-niem*)          118.65
Mokotów   LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego                                       1U                1U [O] geogr-ang-wos (ang-hisz,niem*)      121.20
Mokotów   LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego                                       1W                1W [O] hist-ang-pol (ang-hisz,niem*)       121.40
Mokotów   LXXX Liceum Ogólnokształcące im. Leopolda Staffa                                               1la               1la [O] inf-ang-mat (ang-hisz)             153.75
Mokotów   LXXX Liceum Ogólnokształcące im. Leopolda Staffa                                               1lb               1lb [O] inf-ang-mat (ang-niem)             146.00
